"batsman1","bowler1","totalRuns"
"A Balbirnie","Aizaz Khan",19
"A Balbirnie","AJ Hosein",7
"A Balbirnie","Akif Raja",6
"A Balbirnie","AL Phehlukwayo",4
"A Balbirnie","AR Patel",6
"A Balbirnie","AS Joseph",2
"A Balbirnie","AU Rashid",17
"A Balbirnie","AV Lalcheta",7
"A Balbirnie","AW Hawkins-Kay",10
"A Balbirnie","Ayan Khan",5
"A Balbirnie","Azmatullah Omarzai",26
"A Balbirnie","B Fernando",1
"A Balbirnie","B Kumar",9
"A Balbirnie","B Muzarabani",2
"A Balbirnie","B Ward",5
"A Balbirnie","BA Stokes",4
"A Balbirnie","BC Fortuin",2
"A Balbirnie","BD Glover",5
"A Balbirnie","BDH Stevens",4
"A Balbirnie","BE Hendricks",13
"A Balbirnie","BFW de Leede",5
"A Balbirnie","Bilal Khan",23
"A Balbirnie","BM Scholtz",26
"A Balbirnie","BM Tickner",4
"A Balbirnie","BTJ Wheal",4
"A Balbirnie","C Karunaratne",14
"A Balbirnie","CA Soper",3
"A Balbirnie","CB Mpofu",2
"A Balbirnie","CB Sole",3
"A Balbirnie","CBRLS Kumara",11
"A Balbirnie","CG Williams",4
"A Balbirnie","CR Woakes",22
"A Balbirnie","CW Perchard",7
"A Balbirnie","D Klein",7
"A Balbirnie","DA Blignaut",14
"A Balbirnie","DG Blampied",1
"A Balbirnie","DJ Bravo",22
"A Balbirnie","DT Tiripano",13
"A Balbirnie","Ehsan Khan",23
"A Balbirnie","EJB Miles",6
"A Balbirnie","Fareed Ahmad",7
"A Balbirnie","Fayyaz Butt",25
"A Balbirnie","Fazalhaq Farooqi",22
"A Balbirnie","FJ Klaassen",22
"A Balbirnie","GF Linde",10
"A Balbirnie","Ghulam Ahmadi",8
"A Balbirnie","GT Main",13
"A Balbirnie","Gulbadin Naib",20
"A Balbirnie","Hamza Tahir",19
"A Balbirnie","Haseeb Amjad",8
"A Balbirnie","HH Pandya",15
"A Balbirnie","HN Ya France",7
"A Balbirnie","HR Walsh",3
"A Balbirnie","HV Patel",22
"A Balbirnie","Imran Anwar",13
"A Balbirnie","IS Sodhi",15
"A Balbirnie","J Broad",1
"A Balbirnie","JA Duffy",22
"A Balbirnie","Jay Odedra",12
"A Balbirnie","JB Reva",4
"A Balbirnie","JDS Neesham",1
"A Balbirnie","JH Davey",15
"A Balbirnie","JJ Bumrah",1
"A Balbirnie","JJ Smit",7
"A Balbirnie","JK Mukhiya",7
"A Balbirnie","JN Frylinck",3
"A Balbirnie","JO Holder",6
"A Balbirnie","JR Hazlewood",6
"A Balbirnie","Junaid Aziz",1
"A Balbirnie","Junaid Siddique (2)",22
"A Balbirnie","K Christie",12
"A Balbirnie","K Pierre",14
"A Balbirnie","K Rabada",9
"A Balbirnie","KA Maharaj",5
"A Balbirnie","KA Pollard",15
"A Balbirnie","Kaleemullah",22
"A Balbirnie","Karan KC",14
"A Balbirnie","Karim Janat",27
"A Balbirnie","Kashif Daud",32
"A Balbirnie","KD Shah",11
"A Balbirnie","Khawar Ali",26
"A Balbirnie","KM Jarvis",14
"A Balbirnie","KP Meiyappan",5
"A Balbirnie","KS Airee",9
"A Balbirnie","L Ngidi",8
"A Balbirnie","LB Williams",14
"A Balbirnie","LH Ferguson",10
"A Balbirnie","LM Jongwe",15
"A Balbirnie","LN Rajbanshi",8
"A Balbirnie","LS Livingstone",3
"A Balbirnie","M Theekshana",6
"A Balbirnie","MA Leask",38
"A Balbirnie","MA Wood",6
"A Balbirnie","MG Erasmus",13
"A Balbirnie","MJ Santner",2
"A Balbirnie","Mohammad Ghazanfar",2
"A Balbirnie","Mohammad Nabi",37
"A Balbirnie","Mohammad Nadeem",4
"A Balbirnie","Mohammad Naveed",1
"A Balbirnie","MRJ Watt",33
"A Balbirnie","Mudassar Bukhari",5
"A Balbirnie","Mujeeb Ur Rahman",28
"A Balbirnie","Muslim Yar",1
"A Balbirnie","N Vanua",2
"A Balbirnie","Nasrulla Rana",3
"A Balbirnie","Naveen-ul-Haq",13
"A Balbirnie","NK Patel",1
"A Balbirnie","OC McCoy",8
"A Balbirnie","OF Smith",14
"A Balbirnie","P Khadka",1
"A Balbirnie","PA van Meekeren",21
"A Balbirnie","PM Seelaar",44
"A Balbirnie","PRP Boissevain",14
"A Balbirnie","PVD Chameera",5
"A Balbirnie","PW Borren",12
"A Balbirnie","PWH de Silva",5
"A Balbirnie","R Ngarava",3
"A Balbirnie","R Shepherd",11
"A Balbirnie","R Trumpelmann",3
"A Balbirnie","Rashid Khan",53
"A Balbirnie","Ravi Bishnoi",2
"A Balbirnie","RD Berrington",17
"A Balbirnie","RE van der Merwe",47
"A Balbirnie","Rohan Mustafa",9
"A Balbirnie","RP Burl",18
"A Balbirnie","S Snater",9
"A Balbirnie","S Veerapathiran",6
"A Balbirnie","Sayed Shirzad",5
"A Balbirnie","SC Williams",5
"A Balbirnie","SG Whittingham",13
"A Balbirnie","Shahid Mahmood",9
"A Balbirnie","Shapoor Zadran",6
"A Balbirnie","Sharafuddin Ashraf",17
"A Balbirnie","Sikandar Raza",1
"A Balbirnie","Sikander Zulfiqar",2
"A Balbirnie","SM Curran",10
"A Balbirnie","SM Sharif",5
"A Balbirnie","SM Sharma",3
"A Balbirnie","SN Netravalkar",13
"A Balbirnie","Sompal Kami",12
"A Balbirnie","SS Cottrell",6
"A Balbirnie","Sultan Ahmed (2)",1
"A Balbirnie","T van der Gugten",21
"A Balbirnie","TA Boult",6
"A Balbirnie","Tanwir Afzal",1
"A Balbirnie","TG Southee",2
"A Balbirnie","TL Chatara",1
"A Balbirnie","Umran Malik",17
"A Balbirnie","UT Yadav",6
"A Balbirnie","V Ganesan",1
"A Balbirnie","W Madhevere",16
"A Balbirnie","Waqas Barkat",10
"A Balbirnie","Waseeq Ahmed",4
"A Balbirnie","WD Parnell",4
"A Balbirnie","WP Masakadza",23
"A Balbirnie","WT Gavera",2
"A Balbirnie","YS Chahal",2
"A Balbirnie","Z Groenewald",4
"A Balbirnie","Zahoor Khan",12
"A Balbirnie","Zeeshan Maqsood",11
"A Balbirnie","Ziaur Rahman (2)",7
"A Bhadauria","S Wickramasekara",4
"A Bhadauria","Sazib Bhuiyan",12
"A Bhadauria","SJ Patel",7
"A Bhadauria","SMK Waththage",16
"A Bhadauria","TK Lal",1
"A Bhagwat","BD Glover",1
"A Bhagwat","BDH Stevens",1
"A Bhargava","Junaid Siddique (2)",1
"A Bhargava","Mohamed Shafeeq",5
"A Bhargava","Sultan Ahmed (2)",1
"A Bhattarai","Haseeb Amjad",2
"A Bishnoi","Ashiqullah Said",2
"A Bishnoi","Khalid Ahmadi",1
"A Bohara","Aamir Kaleem",2
"A Bohara","Aizaz Khan",11
"A Bohara","D Jakiel",1
"A Bohara","Haroon Arshad",1
"A Bohara","MR Adair",2
"A Bohara","Simi Singh",1
"A Bohara","TL Chatara",2
"A Bohara","Zahoor Khan",1
"A Bulow","Abdul-Shakoor Rahimzei",1
"A Bulow","Ahmed Wardak",7
"A Bulow","Asad Mohammad",3
"A Dananjaya","AL Phehlukwayo",8
"A Dananjaya","B Kumar",1
"A Dananjaya","CH Morris",7
"A Dananjaya","CJ Dala",2
"A Dananjaya","DJ Bravo",5
"A Dananjaya","DJ Willey",2
"A Dananjaya","FH Edwards",4
"A Dananjaya","HH Pandya",2
"A Dananjaya","JD Unadkat",2
"A Dananjaya","Kuldeep Yadav",2
"A Dananjaya","Mohammed Siraj",9
"A Dananjaya","Rubel Hossain",1
"A Dananjaya","SK Raina",2
"A Dananjaya","SN Thakur",1
"A Dananjaya","T Shamsi",3
"A Dananjaya","YS Chahal",10
"A Dizija","Ahsan Khan",8
"A Dizija","Asad Ali Rehemtulla",15
"A Dizija","Bakhtiar Tahiri",14
"A Dizija","CJ Langford",1
"A Dizija","CPPM Sadun",12
"A Dizija","DV Varghese",1
"A Dizija","Gaurav Mishra",4
"A Dizija","Gurpratap Singh",8
"A Dizija","H Lakov",30
"A Dizija","Ijaz Hussain",8
"A Dizija","J Albin",6
"A Dizija","M Kadyan",29
"A Dizija","M Ozturk",4
"A Dizija","Muhammad Shoaib Ahmed",21
"A Dizija","NK Tiwari",14
"A Dizija","Omar Rassol",24
"A Dizija","P Mishra",24
"A Dizija","S Nadigotla",6
"A Dizija","Sandeep Nair",20
"A Dizija","SRMJJ Arachchilage",6
"A Dizija","Sulaiman Ali",5
"A Dizija","Tejwinder Singh",7
"A Djorovic","AS Mehmi",1
"A Djorovic","KC D'Souza",4
"A Djorovic","P Florin",3
"A Djorovic","P Mishra",1
"A Djorovic","Sandeep Nair",5
"A Djorovic","Tarun Yadav",5
"A Djorovic","Waqar Abbasi",2
"A Ferguson","AA Banner",11
"A Ferguson","Bhumeshswar Jagroo",2
"A Ferguson","D Heyliger",6
"A Ferguson","Garret Banner",11
"A Ferguson","H Thaker",3
"A Ferguson","K Hinds",2
"A Ferguson","KJ Young",23
"A Ferguson","ML Castillo",14
"A Ferguson","NN Banner",17
"A Ferguson","Saad Bin Zafar",8
"A Ferguson","Salman Nazar",6
"A Ferguson","TW Samuels",10
"A Flintoff","A Symonds",7
"A Flintoff","B Lee",15
"A Flintoff","CJ Chibhabha",9
"A Flintoff","DL Vettori",1
"A Flintoff","Harbhajan Singh",3
"A Flintoff","IK Pathan",5
"A Flintoff","JA Morkel",2
"A Flintoff","JJ van der Wath",3
"A Flintoff","M Morkel",1
"A Flintoff","M Ntini",9
"A Flintoff","MG Johnson",7
"A Flintoff","MJ Clarke",6
"A Flintoff","MS Kasprowicz",1
"A Flintoff","NW Bracken",1
"A Flintoff","P Utseya",4
"A Flintoff","VD Philander",2
"A Gasteratos","JD Newton",3
"A Gasteratos","SD Valjalo",1
"A Gavde","TK Patel",1
"A Gbla","AM Kimote",2
"A Gbla","CM Akachukwu",4
"A Gbla","IO Okpe",3
"A Gbla","P Aho",2
"A Gbla","P Useni",10
"A Gbla","RA Abolarin",14
"A Gbla","SA Okpe",1
"A Gbla","T Tshose",15
"A Halbhavi","Asif Bevinje",9
"A Halbhavi","M Kadyan",4
"A Halbhavi","S Vashisht",6
"A Halbhavi","Sami Ullah",2
"A Halbhavi","Taranjeet Singh",1
"A Halbhavi","V Saini",3
"A Husain","D Heyliger",4
"A Husain","J Matharu",2
"A Johnmary","P Bhart",1
"A Johnmary","Raza Iqbal",3
"A Johnmary","Usman Arif (2)",1
"A Johnmary","Vinay Ravi",3
"A Johnson","Atif-Ur-Rehman",14
"A Johnson","Faisal Khan",11
"A Johnson","Hisham Sheikh",23
"A Johnson","Imran Anwar",3
"A Johnson","Muhammad Saqib",12
"A Johnson","Rizwan Butt",10
"A Johnson","S Veerapathiran",9
"A Johnson","Sachin Kumar",6
"A Johnson","Shahid Mahmood",23
"A Johnson","Usman Najeeb",7
"A Johnson","Zain Ul Abidin",17
"A Kansonkho","MV Matsau",2
"A Kansonkho","Omar Hussain",6
"A Kansonkho","Sarfaraj Patel",12
"A Kansonkho","SK Awiah",2
"A Kapoor","Atif-Ur-Rehman",3
"A Kapoor","Hisham Sheikh",6
"A Karn","Ahsan Malik",1
"A Karn","MJG Rippon",3
"A Khan","A Pusthay",6
"A Khan","Amjad Sher",2
"A Khan","CW Perchard",1
"A Khan","G Stewart",7
"A Khan","Ghulam Ahmadi",2
"A Khan","GP Meade",1
"A Khan","J Sumerauer",4
"A Khan","Jaspreet Singh",11
"A Khan","MB Tambe",5
"A Khan","MGSM Fernando",1
"A Khan","Muslim Yar",3
"A Khan","Sahir Naqash",1
"A Khan","SJ Benn",2
"A Khan","SVE Bharathi",2
"A Kheterpal","A Dhingra",1
"A Kheterpal","Aftab Kayani",2
"A Kheterpal","Ahmad Khalid Ahmadzai",1
"A Kheterpal","Asad Ali Rehemtulla",12
"A Kheterpal","B Arora",6
"A Kheterpal","BA Pai",3
"A Kheterpal","Bilal Muhammad",1
"A Kheterpal","DV Varghese",8
"A Kheterpal","H Lakov",4
"A Kheterpal","IDM Latin",9
"A Kheterpal","Ijaz Hussain",6
"A Kheterpal","Jaison Jerome",17
"A Kheterpal","KD Mehta",1
"A Kheterpal","L Bruce",10
"A Kheterpal","M Cope",7
"A Kheterpal","M Whelan",2
"A Kheterpal","Naveed Ahmed",9
"A Kheterpal","Omar Rassol",6
"A Kheterpal","P Malav",5
"A Kheterpal","P Mishra",12
"A Kheterpal","R Satheesan",12
"A Kheterpal","Ritik Tomar",8
"A Kheterpal","S Bodha",11
"A Kheterpal","S Davizi",5
"A Kheterpal","Sajad Ahmadzai",1
"A Kheterpal","Sami Ullah",5
"A Kheterpal","Sazib Bhuiyan",3
"A Kheterpal","SJ Patel",3
"A Kheterpal","Taranjeet Singh",12
"A Kheterpal","V Saini",9
"A Kheterpal","Washeem Abbas",4
"A Kirschbaum","J Jagroo",1
"A Kirschbaum","J Theron",4
"A Krishna","A Bohara",1
"A Krishna","Aaron Jones",8
"A Krishna","DG Blampied",1
"A Krishna","EJB Miles",1
"A Krishna","Iqbal Hussain",4
"A Krishna","J Theron",8
"A Krishna","NK Patel",3
"A Krishna","SJ Modani",1
"A Krishna","SN Netravalkar",1
"A Krishna","TL Chatara",1
"A Maheshwari","MB Tambe",1
"A Maheshwari","Raaz Mohammad",1
"A Maheshwari","Zaker Taqawi",1
"A Manepalli","A Kheterpal",2
"A Manepalli","Aftab Kayani",3
"A Manepalli","Asif Bevinje",7
"A Manepalli","P Florin",11
"A Manepalli","Taranjeet Singh",1
"A Manousis","Aswad Khan",11
"A Manousis","Bakhtiar Tahiri",5
"A Manousis","H Lakov",1
"A Manousis","J Reb",6
"A Manousis","PF Gallagher",1
"A Manousis","Raaz Mohammad",10
"A Manousis","V Zimonjic",5
"A Mansale","B Schuster",2
"A Mansale","C Dickson",16
"A Mansale","CA Soper",4
"A Mansale","CK Jasmat",10
"A Mansale","D Ravu",4
"A Mansale","DC Smith",5
"A Mansale","DP Michael",6
"A Mansale","Fitri Sham",3
"A Mansale","J Batinibulu",3
"A Mansale","J Kila",6
"A Mansale","Mohamed Arief",5
"A Mansale","MTMMJ Ave",7
"A Mansale","Muhammad Wafiq",10
"A Mansale","N Pokana",4
"A Mansale","N Vanua",7
"A Mansale","Nazril Rahman",3
"A Mansale","P Cabebula",4
"A Mansale","Pavandeep Singh",9
"A Mansale","S Muniandy",25
"A Mansale","S Ravoka",12
"A Mansale","S Sola",4
"A Mansale","SF Tiai",8
"A Mansale","SM Tupou",13
"A Mansale","Surinder Singh",1
"A Mansale","T Ritawa",22
"A Mansale","T Vanuarua",6
"A Mansale","TS Waqavakatoga",6
"A Mansale","Virandeep Singh",6
"A Mansale","W Kokaua",17
"A Martel","Noman Amjad",20
"A Martel","Rahmatullah Mangal",3
"A McAuley","ACF Stokes",7
"A McAuley","Ali Masood",1
"A McAuley","Ashish Rana",5
"A McAuley","Ashraful Shuvo",4
"A McAuley","CPPM Sadun",1
"A McAuley","Gaurav Mishra",4
"A McAuley","Gurpratap Singh",19
"A McAuley","Habib Khan",15
"A McAuley","Ilyas Ataullah",2
"A McAuley","K Vislapuu",7
"A McAuley","LC Le Tissier",7
"A McAuley","LT Bichard",11
"A McAuley","M Breban",14
"A McAuley","M Koli",1
"A McAuley","M Kyriacou",6
"A McAuley","MMR Obili",11
"A McAuley","Muhammad Shoaib Ahmed",4
"A McAuley","NK Tiwari",27
"A McAuley","Qasim Anwar",10
"A McAuley","S Nadigotla",2
"A McAuley","S Vashisht",14
"A McAuley","Taranjeet Singh",3
"A McAuley","Tejwinder Singh",25
"A McAuley","V Saini",3
"A McAuley","V Zimonjic",4
"A McAuley","W Peatfield",4
"A McAuley","Waqar Ali",11
"A McAuley","Yasir Mehmood",1
"A Mene-Ejegi","Asad Ali Rehemtulla",9
"A Mene-Ejegi","CJ Langford",4
"A Mene-Ejegi","DV Varghese",4
"A Mene-Ejegi","Gurpratap Singh",8
"A Mene-Ejegi","H Lakov",19
"A Mene-Ejegi","J Albin",24
"A Mene-Ejegi","J Butler",3
"A Mene-Ejegi","K Cawte",4
"A Mene-Ejegi","M Kadyan",6
"A Mene-Ejegi","NK Tiwari",7
"A Mene-Ejegi","Sulaiman Ali",1
"A Mene-Ejegi","Taranjeet Singh",3
"A Mene-Ejegi","Tejwinder Singh",9
"A Mene-Ejegi","V Saini",5
"A Morris","NK Patel",2
"A Morris","RJ Trott",1
"A Morris","SN Netravalkar",2
"A Mutreja","CJA Amini",12
"A Mutreja","D Ravu",31
"A Mutreja","J Theron",7
"A Mutreja","LM Jongwe",3
"A Mutreja","N Vanua",25
"A Mutreja","R Hekure",28
"A Mutreja","RP Burl",6
"A Mutreja","SI Kamea",15
"A Mutreja","SK Atai",2
"A Nanda","A Ashokan",1
"A Nanda","Asif Bevinje",3
"A Nanda","Jaweed Sadran",4
"A Nanda","Muhammad Siddiqui",1
"A Nanda","P Florin",5
"A Nanda","Sami Ullah",6
"A Nanda","SL Clephane",12
"A Nanda","Taranjeet Singh",7
"A Nathwani","Azam Khalil",1
"A Nathwani","L Karlsson",6
"A Nathwani","V Ganesan",1
"A Nathwani","V Vijh",1
"A Natubhai Ahir","GT Taylor",1
"A Natubhai Ahir","K Hinds",3
"A Natubhai Ahir","KJ Young",7
"A Natubhai Ahir","ML Castillo",1
"A Natubhai Ahir","MS Graham",7
"A Natubhai Ahir","TW Samuels",1
"A Ndlovu","Fazalhaq Farooqi",17
"A Ndlovu","Mustafizur Rahman",1
"A Ndlovu","Nijat Masood",6
"A Ndlovu","Shafiul Islam",1
"A Nehra","CAK Rajitha",1
"A Nehra","M Pushpakumara",13
"A Nehra","NLTC Perera",1
"A Nehra","S Prasanna",3
"A Nehra","SL Malinga",7
"A Nehra","SMSM Senanayake",1
"A Nehra","ST Jayasuriya",2
"A Nortje","BFW de Leede",4
"A Nortje","CH Gayle",2
"A Nortje","Haris Rauf",1
"A Nortje","HV Patel",2
"A Nortje","MA Starc",2
"A Nortje","MR Marsh",2
"A Nortje","OC McCoy",2
"A Nortje","YS Chahal",1
"A Orfila","J Khan",4
"A Orfila","M Stoman",2
"A Otwani","B Shikongo",1
"A Otwani","BM Scholtz",12
"A Otwani","CG Williams",8
"A Otwani","DK Anefie",7
"A Otwani","DNA Ankrah",9
"A Otwani","E Otieno",5
"A Otwani","G Bakiweyem",7
"A Otwani","IKO Aboagye",1
"A Otwani","JJ Smit",9
"A Otwani","JN Frylinck",9
"A Otwani","JWN Moses",21
"A Otwani","LN Oluoch",5
"A Otwani","M Mooketsi",13
"A Otwani","MG Erasmus",7
"A Otwani","Mohameed Taiwo",1
"A Otwani","Mustapha Yusuf",5
"A Otwani","N Master",10
"A Otwani","NM Odhiambo",4
"A Otwani","NN Odhiambo",5
"A Otwani","T Lungameni",7
"A Otwani","Z Groenewald",2
"A Parima","AL Stephen",3
"A Parima","D Wotu",2
"A Parima","J Batinibulu",16
"A Parima","J Rasu",21
"A Parima","PK Matautaava",17
"A Parima","PV Vuniwaqa",7
"A Parima","S Ravoka",6
"A Parima","TS Waqavakatoga",1
"A Parima","U Sofi",12
"A Parima","W Nalisa",2
"A Patmore","Alam Nakash",9
"A Patmore","DJ Hawoe",4
"A Patmore","F Banunaek",6
"A Patmore","GA Priandana",1
"A Patmore","IKEG Artawan",6
"A Patmore","KC Ramamoorthy",5
"A Patmore","RM Koda",1
"A Paul","S Davizi",8
"A Paul","S Wickramasekara",3
"A Paul","SJ Patel",1
"A Paul","SMK Waththage",2
"A Poulose","MP O'Dowd",1
"A Poulose","T van der Gugten",8
"A Pusthay","A Venkatesh",2
"A Pusthay","Abdullah Mahmood",2
"A Pusthay","Hassan Mehmood",5
"A Pusthay","J Jojo",2
"A Pusthay","Khalid Zahid",1
"A Pusthay","L Karlsson",4
"A Pusthay","Lemar Momand",6
"A Pusthay","Omar Hayat",1
"A Pusthay","Qudratullah Mir Afzail",1
"A Pusthay","SA Ahmad",6
"A Pusthay","Saran Aslam",1
"A Pusthay","Surya Anand",1
"A Randhawa","Awais Ikram",5
"A Randhawa","Azam Khalil",3
"A Randhawa","DR Hooper",2
"A Randhawa","F Choudary",4
"A Randhawa","Hamid Mahmood",2
"A Randhawa","Khalid Zahid",2
"A Randhawa","L Karlsson",5
"A Randhawa","P Malav",4
"A Randhawa","P Pustoslemsek",11
"A Randhawa","Ramanjot Singh",8
"A Randhawa","S Kushretha",2
"A Randhawa","Taher Muhammad",2
"A Randhawa","W Peatfield",1
"A Randhawa","Zaker Taqawi",10
"A Rangaswamy","CM Akachukwu",1
"A Rangaswamy","F Nsubuga",7
"A Rangaswamy","IO Okpe",1
"A Rangaswamy","J Bulele",3
"A Rangaswamy","Mohameed Taiwo",1
"A Raza","C Rumistrzewicz",14
"A Raza","LA Burns",25
"A Raza","SA Mohandas",1
"A Raza","Zulqarnain Haider (2)",11
"A Reyes","A Ashokan",22
"A Reyes","A Kheterpal",2
"A Reyes","AG Weligamage",6
"A Reyes","Asad Ali Rehemtulla",1
"A Reyes","Bilal Muhammad",4
"A Reyes","BP Adapaka",4
"A Reyes","HV Mandhyan",3
"A Reyes","Ijaz Hussain",1
"A Reyes","Jaison Jerome",7
"A Reyes","Khaibar Deldar",9
"A Reyes","P Mishra",1
"A Reyes","R Satheesan",1
"A Reyes","Ritik Tomar",4
"A Reyes","S Sengupta",1
"A Reyes","S Wickramasekara",7
"A Reyes","Sazib Bhuiyan",10
"A Reyes","Washeem Abbas",4
"A Sarma","Atif Mehmood",6
"A Sarma","Delawar Khan",7
"A Sarma","J Jojo",4
"A Sarma","ND Laegsgaard",6
"A Sarma","Raja Adeel",3
"A Sarma","SA Ahmad",11
"A Saud","E Ochieng",1
"A Saud","E Otieno",8
"A Saud","EB Ringera",14
"A Saud","LN Oluoch",9
"A Saud","NN Odhiambo",21
"A Saud","SO Ngoche",13
"A Saud","Vraj Patel",4
"A Sharafu","Adil Butt",1
"A Sharafu","D Wiese",3
"A Sharafu","Faisal Khan",1
"A Sharafu","Mohammed Nadeem",3
"A Sharafu","R Trumpelmann",1
"A Sharafu","Sayed Monib",7
"A Sharafu","Shiraz Khan",3
"A Sharafu","Tamoor Sajjad",1
"A Sharafu","Usman Ali",10
"A Shreshta","AB Kamara",8
"A Shreshta","B Masaba",10
"A Shreshta","DM Nakrani",5
"A Shreshta","EB Ringera",1
"A Shreshta","F Akankwasa",6
"A Shreshta","F Nsubuga",6
"A Shreshta","H Ssenyondo",4
"A Shreshta","HA Chohan",10
"A Shreshta","M Kpaka",17
"A Shreshta","P Koech",1
"A Shreshta","RK Kiseto",15
"A Shreshta","S Tarawally",26
"A Shreshta","S Thakor",4
"A Shreshta","S Williams",27
"A Shreshta","SA Jumbe",1
"A Shukla","Mohammad Nawaz (3)",1
"A Symonds","A Flintoff",4
"A Symonds","AJ Hall",5
"A Symonds","CJ Chibhabha",13
"A Symonds","CP Schofield",1
"A Symonds","DL Vettori",11
"A Symonds","DR Tuffey",3
"A Symonds","GB Brent",1
"A Symonds","GJP Kruger",2
"A Symonds","H Masakadza",1
"A Symonds","Harbhajan Singh",16
"A Symonds","IK Pathan",16
"A Symonds","J Botha",15
"A Symonds","J Lewis",8
"A Symonds","JDP Oram",14
"A Symonds","JH Kallis",12
"A Symonds","Joginder Sharma",9
"A Symonds","JS Patel",29
"A Symonds","KD Mills",33
"A Symonds","M Kartik",14
"A Symonds","M Zondeki",20
"A Symonds","Mohammad Asif",5
"A Symonds","Mohammad Hafeez",7
"A Symonds","MR Gillespie",14
"A Symonds","MS Panesar",13
"A Symonds","P Utseya",8
"A Symonds","PD Collingwood",15
"A Symonds","S Sreesanth",6
"A Symonds","SB Styris",13
"A Symonds","Shahid Afridi",5
"A Symonds","Sohail Tanvir",12
"A Symonds","T Mupariwa",7
"A Symonds","T Taibu",3
"A Symonds","V Sehwag",2
"A Turkmen","Ijaz Hussain",1
"A Turkmen","JA Burrows",6
"A Turkmen","K Cawte",4
"A Turkmen","M Gherasim",5
"A Turkmen","M Koli",7
"A Turkmen","M Sarenac",2
"A Turkmen","MV Pavlovic",2
"A Turkmen","S Vashisht",1
"A Vala","A Bohara",2
"A Vala","Aarif Sheikh",1
"A Vala","AC Evans",22
"A Vala","Ahmed Raza",3
"A Vala","Aizaz Khan",4
"A Vala","Amjad Javed",4
"A Vala","Amjad Mahboob",13
"A Vala","Aqib Ilyas",15
