"batsman1","bowler1","totalRuns"
"A Chopra","PP Ojha",3
"A Chopra","RP Singh",9
"A Chopra","SB Bangar",9
"A Chopra","SB Styris",5
"A Chopra","SM Pollock",1
"A Chopra","VY Mahesh",5
"A Chopra","WPUJC Vaas",1
"A Chopra","Y Venugopal Rao",3
"A Chopra","Z Khan",1
"A Choudhary","AJ Tye",2
"A Choudhary","AR Patel",2
"A Choudhary","Basil Thampi",8
"A Choudhary","BCJ Cutting",6
"A Choudhary","JP Faulkner",5
"A Choudhary","MM Sharma",2
"A Dananjaya","Mohammed Shami",2
"A Dananjaya","TA Boult",2
"A Flintoff","A Nehra",3
"A Flintoff","DJ Bravo",13
"A Flintoff","DL Vettori",4
"A Flintoff","DW Steyn",14
"A Flintoff","Harbhajan Singh",2
"A Flintoff","KP Pietersen",6
"A Flintoff","MK Tiwary",3
"A Flintoff","P Kumar",2
"A Flintoff","PJ Sangwan",6
"A Flintoff","RR Raje",1
"A Flintoff","ST Jayasuriya",7
"A Flintoff","Z Khan",1
"A Kumble","A Flintoff",1
"A Kumble","A Mishra",1
"A Kumble","AB McDonald",1
"A Kumble","CRD Fernando",1
"A Kumble","DJ Bravo",5
"A Kumble","Harbhajan Singh",1
"A Kumble","Harmeet Singh",1
"A Kumble","IK Pathan",6
"A Kumble","JA Morkel",2
"A Kumble","PP Chawla",1
"A Kumble","R McLaren",1
"A Kumble","RA Jadeja",2
"A Kumble","RJ Harris",1
"A Kumble","RP Singh",2
"A Kumble","SK Warne",5
"A Kumble","SL Malinga",1
"A Kumble","Sohail Tanvir",1
"A Kumble","VRV Singh",2
"A Mishra","A Nehra",3
"A Mishra","A Singh",2
"A Mishra","AB Agarkar",3
"A Mishra","AB Dinda",18
"A Mishra","AD Mathews",6
"A Mishra","AG Murtaza",3
"A Mishra","AN Ahmed",3
"A Mishra","Azhar Mahmood",7
"A Mishra","B Lee",2
"A Mishra","BA Stokes",2
"A Mishra","Basil Thampi",8
"A Mishra","BB Sran",1
"A Mishra","CH Morris",3
"A Mishra","CRD Fernando",3
"A Mishra","D Wiese",1
"A Mishra","DE Bollinger",2
"A Mishra","DJ Bravo",9
"A Mishra","DL Chahar",6
"A Mishra","DS Kulkarni",2
"A Mishra","GB Hogg",1
"A Mishra","Harbhajan Singh",13
"A Mishra","HH Pandya",4
"A Mishra","I Sharma",1
"A Mishra","IK Pathan",7
"A Mishra","Imran Tahir",1
"A Mishra","Iqbal Abdulla",13
"A Mishra","J Theron",3
"A Mishra","JA Morkel",1
"A Mishra","JD Unadkat",18
"A Mishra","JH Kallis",7
"A Mishra","JJ Bumrah",1
"A Mishra","JO Holder",11
"A Mishra","JP Duminy",12
"A Mishra","KA Pollard",4
"A Mishra","KK Ahmed",1
"A Mishra","KK Cooper",3
"A Mishra","KV Sharma",5
"A Mishra","L Ablish",3
"A Mishra","L Balaji",23
"A Mishra","M Morkel",12
"A Mishra","MA Starc",1
"A Mishra","MG Johnson",1
"A Mishra","MM Patel",32
"A Mishra","MR Marsh",8
"A Mishra","P Awana",1
"A Mishra","P Negi",9
"A Mishra","PP Chawla",3
"A Mishra","PP Ojha",2
"A Mishra","R Ashwin",5
"A Mishra","R Bhatia",1
"A Mishra","R Dhawan",1
"A Mishra","R Sharma",5
"A Mishra","R Vinay Kumar",1
"A Mishra","RA Jadeja",1
"A Mishra","RP Singh",2
"A Mishra","Sandeep Sharma",2
"A Mishra","SC Ganguly",14
"A Mishra","SK Trivedi",14
"A Mishra","SK Warne",2
"A Mishra","SL Malinga",5
"A Mishra","SP Narine",1
"A Mishra","SR Watson",7
"A Mishra","ST Jayasuriya",1
"A Mishra","STR Binny",2
"A Mishra","TG Southee",1
"A Mishra","TS Mills",4
"A Mishra","UT Yadav",6
"A Mishra","VR Aaron",2
"A Mithun","DL Vettori",5
"A Mithun","PC Valthaty",3
"A Mithun","PP Chawla",1
"A Mithun","R Ashwin",2
"A Mithun","RJ Harris",12
"A Mithun","SK Raina",9
"A Mithun","SP Narine",2
"A Mukund","A Chandila",5
"A Mukund","JP Faulkner",3
"A Mukund","S Sreesanth",1
"A Mukund","SK Trivedi",1
"A Mukund","SR Watson",9
"A Nehra","AD Mascarenhas",2
"A Nehra","AD Russell",1
"A Nehra","Harmeet Singh",7
"A Nehra","IK Pathan",1
"A Nehra","J Theron",1
"A Nehra","Joginder Sharma",1
"A Nehra","MG Johnson",1
"A Nehra","MR Marsh",5
"A Nehra","NM Coulter-Nile",1
"A Nehra","R Sharma",7
"A Nehra","S Sreesanth",1
"A Nehra","STR Binny",7
"A Nehra","SW Tait",2
"A Nehra","VRV Singh",1
"A Nehra","WPUJC Vaas",3
"A Nortje","CJ Jordan",3
"A Nortje","KK Ahmed",3
"A Nortje","T Natarajan",1
"A Singh","AB Agarkar",1
"A Singh","DE Bollinger",1
"A Symonds","A Kumble",13
"A Symonds","A Mishra",60
"A Symonds","A Nehra",2
"A Symonds","AB Agarkar",27
"A Symonds","AC Thomas",2
"A Symonds","AD Mathews",7
"A Symonds","AL Menaria",1
"A Symonds","Anand Rajan",1
"A Symonds","AP Dole",3
"A Symonds","B Akhil",2
"A Symonds","B Lee",6
"A Symonds","BA Bhatt",2
"A Symonds","Bipul Sharma",14
"A Symonds","BJ Hodge",1
"A Symonds","CH Gayle",1
"A Symonds","CK Langeveldt",1
"A Symonds","D Salunkhe",7
"A Symonds","DE Bollinger",8
"A Symonds","DJ Bravo",5
"A Symonds","DJ Hussey",19
"A Symonds","DP Nannes",26
"A Symonds","DT Christian",11
"A Symonds","DW Steyn",36
"A Symonds","GD McGrath",8
"A Symonds","I Sharma",13
"A Symonds","IK Pathan",16
"A Symonds","J Botha",1
"A Symonds","J Theron",1
"A Symonds","JA Morkel",24
"A Symonds","JE Taylor",3
"A Symonds","JH Kallis",29
"A Symonds","JM Kemp",1
"A Symonds","Joginder Sharma",7
"A Symonds","JR Hopes",1
"A Symonds","KA Pollard",5
"A Symonds","KP Appanna",8
"A Symonds","L Balaji",21
"A Symonds","M Kartik",18
"A Symonds","M Morkel",12
"A Symonds","M Muralitharan",5
"A Symonds","MB Parmar",16
"A Symonds","MC Henriques",1
"A Symonds","MF Maharoof",1
"A Symonds","MM Patel",21
"A Symonds","Mohammad Asif",2
"A Symonds","Mohammad Hafeez",3
"A Symonds","P Kumar",20
"A Symonds","Pankaj Singh",4
"A Symonds","PD Collingwood",15
"A Symonds","PJ Sangwan",6
"A Symonds","PP Chawla",35
"A Symonds","PP Ojha",3
"A Symonds","R Ashwin",19
"A Symonds","R McLaren",9
"A Symonds","R Sharma",2
"A Symonds","R Vinay Kumar",20
"A Symonds","RA Jadeja",9
"A Symonds","RE van der Merwe",14
"A Symonds","RJ Harris",2
"A Symonds","RR Powar",9
"A Symonds","S Ladda",8
"A Symonds","S Narwal",13
"A Symonds","S Randiv",7
"A Symonds","S Sreesanth",35
"A Symonds","SB Jakati",32
"A Symonds","SE Bond",7
"A Symonds","SJ Srivastava",7
"A Symonds","SK Raina",5
"A Symonds","SK Trivedi",43
"A Symonds","SK Warne",65
"A Symonds","SR Watson",12
"A Symonds","SW Tait",1
"A Symonds","T Thushara",2
"A Symonds","TM Dilshan",13
"A Symonds","UT Yadav",13
"A Symonds","V Kohli",11
"A Symonds","VY Mahesh",1
"A Symonds","WA Mota",11
"A Symonds","WD Parnell",10
"A Symonds","Y Nagar",16
"A Symonds","YK Pathan",9
"A Symonds","Yuvraj Singh",11
"A Symonds","Z Khan",3
"A Uniyal","DP Nannes",3
"A Uniyal","S Ladda",1
"A Zampa","A Mishra",5
"AA Bilakhia","A Kumble",6
"AA Bilakhia","A Mishra",7
"AA Bilakhia","A Nehra",12
"AA Bilakhia","DL Vettori",1
"AA Bilakhia","DP Nannes",6
"AA Bilakhia","JA Morkel",6
"AA Bilakhia","JDP Oram",1
"AA Bilakhia","L Balaji",4
"AA Bilakhia","M Muralitharan",1
"AA Bilakhia","P Kumar",12
"AA Bilakhia","PJ Sangwan",2
"AA Bilakhia","R Vinay Kumar",4
"AA Bilakhia","SK Warne",1
"AA Bilakhia","SR Watson",1
"AA Bilakhia","TM Dilshan",3
"AA Bilakhia","V Sehwag",1
"AA Bilakhia","YK Pathan",1
"AA Chavan","BJ Hodge",1
"AA Chavan","M Morkel",5
"AA Chavan","MM Patel",4
"AA Chavan","UT Yadav",2
"AA Jhunjhunwala","A Kumble",3
"AA Jhunjhunwala","A Mishra",9
"AA Jhunjhunwala","AB Dinda",3
"AA Jhunjhunwala","AB McDonald",1
"AA Jhunjhunwala","AD Mathews",9
"AA Jhunjhunwala","AG Murtaza",12
"AA Jhunjhunwala","Azhar Mahmood",2
"AA Jhunjhunwala","BJ Hodge",7
"AA Jhunjhunwala","BW Hilfenhaus",1
"AA Jhunjhunwala","DE Bollinger",1
"AA Jhunjhunwala","DP Nannes",15
"AA Jhunjhunwala","DS Kulkarni",18
"AA Jhunjhunwala","Harbhajan Singh",5
"AA Jhunjhunwala","JA Morkel",7
"AA Jhunjhunwala","JH Kallis",9
"AA Jhunjhunwala","M Kartik",19
"AA Jhunjhunwala","M Muralitharan",6
"AA Jhunjhunwala","MF Maharoof",5
"AA Jhunjhunwala","P Awana",2
"AA Jhunjhunwala","P Kumar",1
"AA Jhunjhunwala","Pankaj Singh",5
"AA Jhunjhunwala","PJ Sangwan",9
"AA Jhunjhunwala","PP Chawla",6
"AA Jhunjhunwala","PP Ojha",3
"AA Jhunjhunwala","R Sathish",2
"AA Jhunjhunwala","R Vinay Kumar",1
"AA Jhunjhunwala","RJ Harris",4
"AA Jhunjhunwala","RP Singh",4
"AA Jhunjhunwala","RR Powar",8
"AA Jhunjhunwala","S Ladda",16
"AA Jhunjhunwala","SE Bond",7
"AA Jhunjhunwala","SL Malinga",1
"AA Jhunjhunwala","ST Jayasuriya",8
"AA Jhunjhunwala","T Thushara",4
"AA Jhunjhunwala","UT Yadav",4
"AA Noffke","AB Agarkar",2
"AA Noffke","SC Ganguly",7
"AB Agarkar","A Mishra",1
"AB Agarkar","A Nehra",3
"AB Agarkar","A Singh",3
"AB Agarkar","AB McDonald",2
"AB Agarkar","DE Bollinger",4
"AB Agarkar","DJ Bravo",4
"AB Agarkar","DJ Thornely",2
"AB Agarkar","DP Nannes",8
"AB Agarkar","DS Kulkarni",5
"AB Agarkar","DW Steyn",1
"AB Agarkar","IK Pathan",1
"AB Agarkar","J Botha",3
"AB Agarkar","Jaskaran Singh",1
"AB Agarkar","JH Kallis",2
"AB Agarkar","Joginder Sharma",2
"AB Agarkar","KAJ Roach",7
"AB Agarkar","Kamran Khan",1
"AB Agarkar","M Muralitharan",6
"AB Agarkar","MS Gony",2
"AB Agarkar","P Amarnath",6
"AB Agarkar","P Awana",4
"AB Agarkar","P Kumar",7
"AB Agarkar","PD Collingwood",6
"AB Agarkar","PJ Sangwan",17
"AB Agarkar","R Ashwin",1
"AB Agarkar","R Bhatia",15
"AB Agarkar","R Vinay Kumar",3
"AB Agarkar","RA Jadeja",3
"AB Agarkar","RE van der Merwe",4
"AB Agarkar","RP Singh",6
"AB Agarkar","RR Raje",10
"AB Agarkar","SB Styris",1
"AB Agarkar","SK Warne",4
"AB Agarkar","SL Malinga",2
"AB Agarkar","Sohail Tanvir",13
"AB Agarkar","SR Watson",12
"AB Agarkar","ST Jayasuriya",1
"AB Agarkar","T Henderson",2
"AB Agarkar","TM Dilshan",1
"AB Agarkar","UT Yadav",3
"AB Barath","A Symonds",1
"AB Barath","DL Vettori",1
"AB Barath","Harbhajan Singh",13
"AB Barath","PD Collingwood",1
"AB Barath","PP Ojha",1
"AB Barath","R McLaren",3
"AB Barath","R Sathish",9
"AB Barath","RG Sharma",5
"AB Barath","SL Malinga",4
"AB Barath","Z Khan",4
"AB de Villiers","A Ashish Reddy",46
"AB de Villiers","A Chandila",26
"AB de Villiers","A Flintoff",34
"AB de Villiers","A Kumble",30
"AB de Villiers","A Mishra",39
"AB de Villiers","A Nehra",61
"AB de Villiers","A Nortje",16
"AB de Villiers","A Singh",11
"AB de Villiers","A Symonds",15
"AB de Villiers","A Uniyal",1
"AB de Villiers","A Zampa",1
"AB de Villiers","AB Agarkar",6
"AB de Villiers","AB Dinda",50
"AB de Villiers","Abhishek Sharma",2
"AB de Villiers","AC Thomas",14
"AB de Villiers","AD Mascarenhas",8
"AB de Villiers","AD Mathews",7
"AB de Villiers","AD Russell",87
"AB de Villiers","AG Murtaza",18
"AB de Villiers","AJ Tye",23
"AB de Villiers","AN Ahmed",10
"AB de Villiers","Anand Rajan",17
"AB de Villiers","Ankit Sharma",39
"AB de Villiers","Ankit Soni",3
"AB de Villiers","Anureet Singh",10
"AB de Villiers","AR Patel",71
"AB de Villiers","Arshdeep Singh",6
"AB de Villiers","AS Rajpoot",34
"AB de Villiers","AS Raut",10
"AB de Villiers","Avesh Khan",9
"AB de Villiers","Azhar Mahmood",20
"AB de Villiers","B Akhil",7
"AB de Villiers","B Kumar",68
"AB de Villiers","B Laughlin",13
"AB de Villiers","B Lee",5
"AB de Villiers","BA Stokes",4
"AB de Villiers","Basil Thampi",16
"AB de Villiers","BAW Mendis",6
"AB de Villiers","BB Sran",19
"AB de Villiers","Bipul Sharma",4
"AB de Villiers","CH Morris",71
"AB de Villiers","CJ Dala",1
"AB de Villiers","CL White",1
"AB de Villiers","CR Woakes",6
"AB de Villiers","CV Varun",17
"AB de Villiers","DAJ Bracewell",16
"AB de Villiers","DE Bollinger",9
"AB de Villiers","DJ Bravo",46
"AB de Villiers","DJ Hooda",4
"AB de Villiers","DJ Hussey",23
"AB de Villiers","DJG Sammy",34
"AB de Villiers","DL Chahar",10
"AB de Villiers","DP Nannes",14
"AB de Villiers","DR Sams",9
"AB de Villiers","DR Smith",25
"AB de Villiers","DS Kulkarni",35
"AB de Villiers","DT Christian",2
"AB de Villiers","DW Steyn",55
"AB de Villiers","GB Hogg",11
"AB de Villiers","GC Viljoen",22
"AB de Villiers","GJ Maxwell",15
"AB de Villiers","Harbhajan Singh",110
"AB de Villiers","Harmeet Singh",26
"AB de Villiers","Harpreet Brar",1
"AB de Villiers","HH Pandya",88
"AB de Villiers","HV Patel",53
"AB de Villiers","I Sharma",37
"AB de Villiers","IC Pandey",23
"AB de Villiers","IK Pathan",67
"AB de Villiers","Imran Tahir",58
"AB de Villiers","Iqbal Abdulla",7
"AB de Villiers","IS Sodhi",22
"AB de Villiers","J Botha",10
"AB de Villiers","J Suchith",25
"AB de Villiers","JA Morkel",36
"AB de Villiers","JC Archer",30
"AB de Villiers","JD Ryder",9
"AB de Villiers","JD Unadkat",45
"AB de Villiers","JEC Franklin",7
"AB de Villiers","JH Kallis",33
"AB de Villiers","JJ Bumrah",125
"AB de Villiers","JL Pattinson",13
"AB de Villiers","JO Holder",7
"AB de Villiers","Joginder Sharma",6
"AB de Villiers","JP Behrendorff",3
"AB de Villiers","JP Duminy",15
"AB de Villiers","JP Faulkner",62
"AB de Villiers","JR Hazlewood",2
"AB de Villiers","K Gowtham",1
"AB de Villiers","K Rabada",42
"AB de Villiers","KA Pollard",23
"AB de Villiers","Kamran Khan",6
"AB de Villiers","Karanveer Singh",21
"AB de Villiers","Kartik Tyagi",7
"AB de Villiers","KC Cariappa",22
"AB de Villiers","KH Pandya",51
"AB de Villiers","KK Ahmed",1
"AB de Villiers","KK Cooper",17
"AB de Villiers","KL Nagarkoti",20
"AB de Villiers","KP Appanna",9
"AB de Villiers","Kuldeep Yadav",22
"AB de Villiers","KV Sharma",29
"AB de Villiers","KW Richardson",14
"AB de Villiers","L Ablish",2
"AB de Villiers","L Balaji",42
"AB de Villiers","LH Ferguson",7
"AB de Villiers","M Ashwin",55
"AB de Villiers","M Jansen",3
"AB de Villiers","M Kartik",12
"AB de Villiers","M Markande",8
"AB de Villiers","M Morkel",22
"AB de Villiers","M Muralitharan",33
"AB de Villiers","M Ntini",3
"AB de Villiers","M Prasidh Krishna",29
"AB de Villiers","MC Henriques",57
"AB de Villiers","MG Johnson",24
"AB de Villiers","MG Neser",28
"AB de Villiers","MJ McClenaghan",55
"AB de Villiers","MJ Santner",9
"AB de Villiers","MM Patel",37
"AB de Villiers","MM Sharma",69
"AB de Villiers","Mohammad Nabi",1
"AB de Villiers","Mohammed Shami",59
"AB de Villiers","Monu Kumar",8
"AB de Villiers","MP Stoinis",48
"AB de Villiers","MR Marsh",16
"AB de Villiers","MS Gony",40
"AB de Villiers","Mujeeb Ur Rahman",15
"AB de Villiers","Mustafizur Rahman",7
"AB de Villiers","N Rana",12
"AB de Villiers","NLTC Perera",6
"AB de Villiers","NM Coulter-Nile",4
"AB de Villiers","P Awana",19
"AB de Villiers","P Kumar",28
"AB de Villiers","P Negi",13
"AB de Villiers","Pankaj Singh",3
"AB de Villiers","Parvez Rasool",1
"AB de Villiers","PC Valthaty",14
"AB de Villiers","PJ Cummins",23
"AB de Villiers","PJ Sangwan",6
"AB de Villiers","PP Chawla",53
"AB de Villiers","PP Ojha",39
"AB de Villiers","PV Tambe",32
"AB de Villiers","R Ashwin",69
"AB de Villiers","R Bhatia",36
"AB de Villiers","R Dhawan",8
"AB de Villiers","R McLaren",7
"AB de Villiers","R Parag",4
"AB de Villiers","R Sharma",10
"AB de Villiers","R Tewatia",22
"AB de Villiers","R Vinay Kumar",16
"AB de Villiers","RA Jadeja",86
"AB de Villiers","Rashid Khan",45
"AB de Villiers","Ravi Bishnoi",14
"AB de Villiers","RD Chahar",34
"AB de Villiers","RE van der Merwe",7
"AB de Villiers","RG Sharma",20
"AB de Villiers","RJ Harris",10
"AB de Villiers","RP Singh",12
"AB de Villiers","RR Powar",5
"AB de Villiers","RR Raje",9
"AB de Villiers","RS Bopara",20
"AB de Villiers","RV Gomez",19
"AB de Villiers","RV Patel",5
"AB de Villiers","S Badree",1
"AB de Villiers","S Gopal",30
"AB de Villiers","S Kaul",52
"AB de Villiers","S Lamichhane",13
"AB de Villiers","S Nadeem",77
"AB de Villiers","S Randiv",13
"AB de Villiers","S Sreesanth",18
"AB de Villiers","Sandeep Sharma",107
"AB de Villiers","SB Jakati",55
"AB de Villiers","SE Rutherford",1
"AB de Villiers","Shakib Al Hasan",49
"AB de Villiers","Shivam Sharma",17
"AB de Villiers","Shoaib Ahmed",4
"AB de Villiers","Shoaib Akhtar",4
"AB de Villiers","SJ Srivastava",7
"AB de Villiers","SK Raina",1
"AB de Villiers","SK Trivedi",38
"AB de Villiers","SK Warne",43
"AB de Villiers","SL Malinga",124
"AB de Villiers","SM Curran",6
"AB de Villiers","SM Pollock",3
"AB de Villiers","SMSM Senanayake",4
"AB de Villiers","SN Thakur",48
"AB de Villiers","SP Narine",53
"AB de Villiers","SR Tendulkar",19
"AB de Villiers","SR Watson",53
"AB de Villiers","SS Cottrell",12
"AB de Villiers","SS Sarkar",4
"AB de Villiers","STR Binny",16
"AB de Villiers","SW Tait",1
"AB de Villiers","T Natarajan",25
"AB de Villiers","TA Boult",55
"AB de Villiers","TG Southee",23
"AB de Villiers","TK Curran",5
"AB de Villiers","Umran Malik",1
"AB de Villiers","UT Yadav",29
"AB de Villiers","V Pratap Singh",3
"AB de Villiers","VR Aaron",32
"AB de Villiers","WPUJC Vaas",8
"AB de Villiers","YA Abdulla",2
"AB de Villiers","YK Pathan",23
"AB de Villiers","Yuvraj Singh",6
"AB de Villiers","Z Khan",28
"AB Dinda","A Mishra",2
"AB Dinda","AD Mascarenhas",1
"AB Dinda","CH Gayle",6
"AB Dinda","DJ Bravo",2
"AB Dinda","DJ Thornely",1
"AB Dinda","KA Pollard",1
"AB Dinda","MG Johnson",2
"AB Dinda","P Awana",1
"AB Dinda","RP Singh",3
"AB Dinda","SL Malinga",1
"AB Dinda","Sohail Tanvir",1
"AB Dinda","Z Khan",5
"AB McDonald","A Kumble",1
"AB McDonald","AG Murtaza",5
"AB McDonald","Azhar Mahmood",5
"AB McDonald","CRD Fernando",6
"AB McDonald","DAJ Bracewell",6
"AB McDonald","DE Bollinger",2
"AB McDonald","DJ Bravo",16
"AB McDonald","DJ Hussey",2
"AB McDonald","DW Steyn",8
"AB McDonald","Harbhajan Singh",6
"AB McDonald","IK Pathan",19
"AB McDonald","JA Morkel",1
"AB McDonald","KA Pollard",5
"AB McDonald","M Morkel",4
"AB McDonald","P Awana",7
"AB McDonald","P Kumar",9
"AB McDonald","PP Chawla",3
"AB McDonald","R Vinay Kumar",1
"AB McDonald","RE van der Merwe",2
"AB McDonald","SK Trivedi",8
"AB McDonald","SW Tait",6
"AB McDonald","UT Yadav",1
"Abdul Samad","A Nortje",29
"Abdul Samad","AD Russell",4
"Abdul Samad","AR Patel",3
"Abdul Samad","Arshdeep Singh",1
"Abdul Samad","Avesh Khan",7
"Abdul Samad","C Sakariya",9
"Abdul Samad","CV Varun",26
"Abdul Samad","DJ Bravo",6
"Abdul Samad","DT Christian",1
"Abdul Samad","JJ Bumrah",20
"Abdul Samad","JL Pattinson",1
"Abdul Samad","JR Hazlewood",9
"Abdul Samad","K Rabada",19
"Abdul Samad","KH Pandya",1
"Abdul Samad","LH Ferguson",3
"Abdul Samad","M Ashwin",2
"Abdul Samad","Mohammed Shami",5
"Abdul Samad","MP Stoinis",5
"Abdul Samad","Mustafizur Rahman",1
"Abdul Samad","PJ Cummins",23
"Abdul Samad","PP Chawla",2
"Abdul Samad","R Ashwin",12
"Abdul Samad","RA Jadeja",1
"Abdul Samad","Ravi Bishnoi",8
"Abdul Samad","Shakib Al Hasan",3
"Abdul Samad","Shivam Mavi",7
"Abdul Samad","SN Thakur",10
"Abdul Samad","SP Narine",1
"Abdul Samad","TA Boult",5
"Abdul Samad","YS Chahal",2
"Abhishek Sharma","A Mishra",3
"Abhishek Sharma","AD Russell",7
"Abhishek Sharma","AJ Tye",5
"Abhishek Sharma","Arshdeep Singh",28
"Abhishek Sharma","AS Joseph",10
"Abhishek Sharma","Avesh Khan",2
"Abhishek Sharma","BCJ Cutting",1
"Abhishek Sharma","C Sakariya",13
"Abhishek Sharma","CH Morris",7
"Abhishek Sharma","CJ Jordan",10
"Abhishek Sharma","CV Varun",2
"Abhishek Sharma","DJ Bravo",19
"Abhishek Sharma","DL Chahar",5
"Abhishek Sharma","DR Sams",2
"Abhishek Sharma","GHS Garton",12
"Abhishek Sharma","Harpreet Brar",7
"Abhishek Sharma","HH Pandya",2
"Abhishek Sharma","HV Patel",9
"Abhishek Sharma","JDS Neesham",3
"Abhishek Sharma","JJ Bumrah",8
"Abhishek Sharma","JL Pattinson",2
"Abhishek Sharma","JO Holder",6
"Abhishek Sharma","JR Hazlewood",31
"Abhishek Sharma","K Rabada",13
"Abhishek Sharma","KH Pandya",9
"Abhishek Sharma","KK Ahmed",4
"Abhishek Sharma","LH Ferguson",25
"Abhishek Sharma","LS Livingstone",23
"Abhishek Sharma","M Prasidh Krishna",2
"Abhishek Sharma","MJ Santner",11
"Abhishek Sharma","MM Ali",3
"Abhishek Sharma","Mohammed Shami",7
"Abhishek Sharma","Mohammed Siraj",36
"Abhishek Sharma","Mustafizur Rahman",12
"Abhishek Sharma","NA Saini",6
"Abhishek Sharma","NM Coulter-Nile",13
"Abhishek Sharma","NT Ellis",4
"Abhishek Sharma","PP Chawla",12
"Abhishek Sharma","PWH de Silva",1
"Abhishek Sharma","R Ashwin",5
"Abhishek Sharma","RA Jadeja",29
"Abhishek Sharma","Rashid Khan",47
"Abhishek Sharma","RD Chahar",7
"Abhishek Sharma","RP Meredith",7
"Abhishek Sharma","S Dube",2
"Abhishek Sharma","Shakib Al Hasan",2
"Abhishek Sharma","SM Curran",1
"Abhishek Sharma","SN Thakur",13
"Abhishek Sharma","SP Narine",27
"Abhishek Sharma","TA Boult",11
"Abhishek Sharma","TG Southee",33
"Abhishek Sharma","UT Yadav",6
"Abhishek Sharma","Washington Sundar",2
"Abhishek Sharma","YS Chahal",5
"AC Blizzard","AB Agarkar",4
"AC Blizzard","AC Thomas",5
"AC Blizzard","B Lee",23
"AC Blizzard","BA Bhatt",1
"AC Blizzard","Bipul Sharma",2
"AC Blizzard","CH Gayle",1
"AC Blizzard","I Sharma",1
"AC Blizzard","IK Pathan",1
"AC Blizzard","Iqbal Abdulla",9
"AC Blizzard","M Morkel",29
"AC Blizzard","P Kumar",12
"AC Blizzard","R Bhatia",8
"AC Blizzard","S Nadeem",3
"AC Blizzard","SB Wagh",1
"AC Blizzard","Shakib Al Hasan",10
"AC Blizzard","YK Pathan",1
"AC Blizzard","Z Khan",9
"AC Gilchrist","A Chandila",4
"AC Gilchrist","A Kumble",34
"AC Gilchrist","A Mishra",38
"AC Gilchrist","A Mithun",18
"AC Gilchrist","A Nehra",100
"AC Gilchrist","A Singh",2
"AC Gilchrist","AB Agarkar",47
"AC Gilchrist","AB Dinda",32
"AC Gilchrist","AC Thomas",1
"AC Gilchrist","AD Mathews",19
"AC Gilchrist","AM Nayar",19
"AC Gilchrist","Anand Rajan",10
"AC Gilchrist","AP Dole",17
"AC Gilchrist","AS Rajpoot",9
"AC Gilchrist","B Akhil",26
"AC Gilchrist","B Kumar",19
"AC Gilchrist","B Lee",33
"AC Gilchrist","BJ Hodge",14
"AC Gilchrist","BW Hilfenhaus",6
"AC Gilchrist","CH Gayle",23
"AC Gilchrist","CK Langeveldt",40
"AC Gilchrist","DE Bollinger",8
"AC Gilchrist","DJ Bravo",35
"AC Gilchrist","DJ Hussey",4
"AC Gilchrist","DP Nannes",45
"AC Gilchrist","DS Kulkarni",10
"AC Gilchrist","DT Christian",27
"AC Gilchrist","DW Steyn",50
"AC Gilchrist","Gagandeep Singh",10
"AC Gilchrist","GD McGrath",5
"AC Gilchrist","GH Vihari",2
"AC Gilchrist","Harbhajan Singh",27
"AC Gilchrist","I Sharma",62
"AC Gilchrist","IK Pathan",62
